Fuente,Título,Contenido,Sección,Url,Fecha
Expansión,"['nintendo', 'Xbox', 'junto', '.', 'ser', 'juego', 'Xbox', 'llegar', 'Switch']","['ser', 'resumen', 'principal', 'novedad', 'noticia', 'Nintendo', 'Direct', ':', 'Partner', 'Showcase', ':', 'juego', 'anunciado', 'mañana', ',', 'incluir', 'dos', 'Xbox', '.']",Ciencia y tecnología,https://expansion.mx/tecnologia/2024/02/21/nintendo-direct-partner-showcase-resumen,21/02/2024
Expansión,"['ser', 'red', 'social', 'usuario', 'buscar', 'eliminar', 'más', 'teléfono']","['¿', 'Facebook', ',', 'Instagram', 'Twitter', '?', 'dirar', 'red', 'social', 'poder', 'perder', 'más', 'usuario', 'basado', 'búsqueda', 'internet', 'usuario', '.']",Ciencia y tecnología,https://expansion.mx/tecnologia/2024/02/20/instagram-es-la-red-social-mas-desinstalada-en-el-mundo,20/02/2024
Expansión,"['mexicano', ',', 'computadora', 'deber', 'ser', 'barato', 'portátil']","['tendencia', 'mexicano', 'respecto', 'laptops', 'ser', 'que', 'cumplir', 'característica', ',', 'ahora', 'marca', 'buscar', 'atraer', 'través', 'componente', '.']",Ciencia y tecnología,https://expansion.mx/tecnologia/2024/02/20/que-computadoras-prefieren-comprar-mexicanos,20/02/2024
Expansión,"['Reseña', ':', 'Suicide', 'Squad', 'Kill', 'the', 'Justice', 'League', ':', 'buen', 'juego', ',', 'deuda']","['nuevo', 'videojuego', 'Rocksteady', '-creadores', 'saga', 'Batman', ':', 'arkham-', 'ofrecer', 'tipo', 'experiencia', ',', 'ahora', 'licencia', 'Suicide', 'Squad', ',', 'embargo', 'fan', 'no', 'aceptar', 'propuesta', '.']",Ciencia y tecnología,https://expansion.mx/tecnologia/2024/02/19/resena-suicide-squad-kill-the-justice-league,19/02/2024
Expansión,"['regular', 'IA', 'necesitar', 'controlar', 'venta', 'hardware']","['especialista', 'proponer', 'que', 'GPU', ',', 'ser', 'clave', 'más', 'importante', 'desarrollar', 'Inteligencia', 'Artificial', ',', 'poder', 'funcionar', 'como', 'mecanismo', 'regulación', '.']",Ciencia y tecnología,https://expansion.mx/tecnologia/2024/02/19/para-regular-la-ia-se-necesita-controlar-la-venta-de-hardware,19/02/2024
Expansión,"['¿', 'necesitar', 'ser', 'jugador', 'profesional', 'Street', 'Fighter', '?']","['circuito', 'competitivo', 'juegos', 'peleas', 'tener', 'largo', 'tradición', 'México', ',', 'ahora', 'parecer', 'estar', 'más', 'vivo', 'que', 'nunca', '.']",Ciencia y tecnología,https://expansion.mx/tecnologia/2024/02/19/que-se-necesita-para-ser-jugador-profesional-street-fighter,19/02/2024
La Jornada,"['Juan', 'Arturo', 'Brennan', ':', 'poco', 'rock', 'cosa']","['Conciertos', ' ', 'violín', 'piano', 'ir', 'venir', 'abundancia', '.', 'vez', 'cuando', ',', 'aparecer', 'violonchelo', ',', 'clarinete', 'flauta', '.', ',', 'menos', 'sala', 'concierto', ',', 'imaginación', 'ser', 'poca', 'variedad', 'escaso', '.', ',', 'oferta', 'fin', 'semana', 'pasado', 'Orquesta', 'Juvenil', 'Universitaria', 'Eduardo', 'Mata', '(', 'Ojuem', ')', 'presentar', 'como', 'particularmente', 'atractivo', 'inusual', '.', 'domingo', '25', 'febrero', 'director', 'huésped', ',', 'Jeffery', 'Meyer', ',', 'poner', 'frente', 'Ojuem', 'conducir', 'estreno', 'absoluto', 'Mutación', ',', 'título', 'compositor', 'mexicano', 'Carlo', 'Ayhllón', 'presentar', 'doble', 'concierto', 'guitarra', 'eléctrico', ',', 'piano', '(', 'amplificado', ')', 'orquesta', '.', 'solista', 'debutar', 'obra', 'ser', 'guitarrista', 'Robbin', 'Blanco', 'pianista', 'Fernando', 'Saint-Martin', ',', 'compositor', 'exigir', 'alto', 'dosis', 'estamina', '.', 'más', 'que', 'largo', 'obra', 'hacer', 'perceptible', 'intención', 'Ayhllón', 'equilibrar', 'presencia', 'sonoro', 'dos', 'solista', ',', 'parte', 'león', 'llevar', 'guitarra', 'eléctrico', ',', 'instrumento', 'frecuencia', 'presentar', 'ámbito', 'música', 'académico', '.', 'planteado', 'tres', 'movimiento', 'contrastado', 'tradicional', ',', 'Mutación', 'ser', 'concierto', 'oyente', 'poder', 'detectar', 'estilo', 'rock', 'interesante', 'combinación', 'variante', 'jazz', ';', 'elemento', 'destacado', 'obra', 'Ayhllón', 'expresar', 'uso', 'modo', 'tocar', 'guitarra', 'eléctrico', '.', 'no', 'ser', ',', 'lejos', ',', 'experto', 'tema', ',', 'fugaz', 'momento', 'parecer', 'que', 'Robbin', 'Blanco', 'estar', 'proceso', 'rencarnar', 'Eddie', 'ir', 'Halen', '.', 'además', 'referencia', 'ámbito', 'música', 'popular', ',', 'doble', 'concierto', 'Ayhllón', 'estar', 'habitado', ',', 'como', 'ser', 'lógico', 'esperar', ',', 'pincelada', 'evocativa', '/', 'descriptiva', 'abundar', 'mucho', 'buen', 'música', 'cine', '.', 'Mutación', ',', 'compositor', 'utilizar', ',', 'enjundia', ',', 'orquesta', 'grande', 'ocasión', 'estar', 'franco', 'pugna', 'decibel', 'solista', '.', 'contexto', ',', 'mejor', 'momento', 'Mutación', 'surgir', 'pasaje', 'guitarra', 'eléctrico', 'piano', 'solista', 'trabajar', 'cobijado', 'orquestación', 'más', 'reducido', 'diversificado', '.', 'destacar', ',', 'buen', 'trabajo', 'coloración', 'tímbrico', 'propuesto', 'movimiento', 'central', 'obra', '.', ',', 'como', 'deber', 'ser', 'tipo', 'planteamiento', 'alto', 'contraste', ',', 'tercer', 'movimiento', 'Ayhllón', 'desatar', 'expansivo', 'discurso', 'rock', 'épico-sinfónico', 'caracterizado', 'sabroso', 'complejidad', 'rítmico', 'cimentado', 'pulso', 'prácticamente', 'invariable', ',', 'ser', 'bien', 'sostenido', 'solista', ',', 'director', 'orquesta', '.', 'tampoco', 'ser', 'experto', 'asunto', 'amplificación', 'sonido', ',', 'sí', 'quedar', 'convencido', 'que', 'Mutación', 'ser', 'obra', 'merecer', 'audición', 'sucesivo', 'contexto', 'mejor', 'balance', 'solista', 'plugged', 'orquesta', ' ', 'unplugged', '.', 'no', 'caber', 'duda', 'ser', 'que', 'juego', 'luz', 'color', 'sala', 'Nezahualcóyotl', 'salir', 'sobrar', '.']",Cultura,https://www.jornada.com.mx/2024/03/02/cultura/a04a1cul?partner=rss,02/03/2024
La Jornada,"['fin', 'semana', ',', 'música', ' ', 'concordia', 'OFCM', 'sala', 'Silvestre', 'Revueltas']","['capital', 'mexicano', 'convertir', 'fin', 'semana', 'segundo', 'urbe', 'país', ',', 'después', 'Durango', ',', 'sumar él', 'proyecto', 'cien', 'Ciudades', 'Paz', ',', 'instaurado', 'compositor', ',', 'director', 'orquesta', 'timbalista', 'ruso', 'Yuri', 'Chugúyev', ',', 'Orden', 'Paz', ',', 'instancia', 'ser', 'fundador', 'vicepresidente', '.']",Cultura,https://www.jornada.com.mx/2024/03/02/cultura/a04n1cul?partner=rss,02/03/2024
La Jornada,"['aun', '“', 'analfabetismo', 'funcional', 'más', 'alarmante', ',', 'poesía', 'sobrevivir', '”']","['país', 'como', 'México', ',', 'violencia', 'formar', 'parte', 'cotidianidad', ',', '“', 'poesía', 'lograr', 'colar él', 'grieta', ',', 'pues', 'ser', 'género', 'siempre', 'sobrevivir', '”', ',', 'asegurar', 'poeta', 'Hermann', 'Bellinghausen', '(', 'Ciudad', 'México', ',', '1953', ')', ',', 'sábado', 'presentar', 'antología', 'Despierto', 'sol', ',', 'Feria', 'Internacional', 'Libro', 'Palacio', 'Minería', '(', 'FILPM', ')', '.']",Cultura,https://www.jornada.com.mx/2024/03/02/cultura/a02n1cul?partner=rss,02/03/2024
La Jornada,"['Autor', 'recrear', 'niñez', 'nadador', 'agua', 'abierto', 'hablar', 'duelo', 'esperanza']","['firme', 'voluntad', 'querer', 'nadar', ',', 'Toño', ',', 'nueve', 'año', ',', 'decidir', 'que', 'conseguir', 'medalla', 'olímpico', '.', 'junto', 'amigo', 'imaginario', ',', 'pirata', 'Don', 'Julián', ',', 'dragón', 'protector', 'marino', ',', 'idear', 'tiempo', 'estar', 'mar', ',', 'percibir', 'fuerte', 'golpe', 'ola', 'viento', ',', 'ser', 'punto', 'partida', 'libro', 'mar', 'ya', 'casi', 'termín', '(', 'Naranjo', ')', ',', 'basado', 'infancia', 'nadador', 'agua', 'abierto', 'Antonio', 'Argüelles', '(', 'Morelos', ',', '1959', ')', '.']",Cultura,https://www.jornada.com.mx/2024/03/02/cultura/a03n1cul?partner=rss,02/03/2024
